id,NHS_number,gender,first_event,second_event,third_event,fourth_event,fifth_event,sixth_event,seventh_event
842,2077274700,M,Legal,Sports,Sales,,Toys,Legal,
843,6465594293,F,Research and Development,Electronics,Product Management,Health,Movies,Human Resources,
844,7528951099,M,Marketing,Clothing,,Shoes,,,Clothing
845,3632977275,M,Sales,,Human Resources,,Tools,Sales,Garden
846,2105732569,F,Services,Beauty,,Clothing,,,Tools
847,5419826305,M,Services,Sports,Business Development,Clothing,Games,Marketing,
848,9355809077,F,Accounting,Tools,Sales,,Games,Product Management,Sports
849,4263536762,M,Product Management,Garden,Marketing,,,,Clothing
850,2856417302,M,Training,Baby,Services,Toys,,,
851,7525698694,M,Business Development,Kids,Sales,Computers,,,
852,0676264719,M,Engineering,Automotive,Services,Industrial,,,Games
853,7438828697,F,Human Resources,Garden,Engineering,Shoes,,,
854,8734277560,F,Support,Tools,Legal,Sports,,,Health
855,4048164236,F,Human Resources,Jewelery,Engineering,Toys,Jewelery,Human Resources,
856,2817217128,F,Accounting,Toys,Sales,Industrial,Tools,Human Resources,Beauty
857,1743002777,F,Business Development,Electronics,Accounting,Health,,,Toys
858,3545972712,M,Marketing,Toys,Sales,Automotive,Games,Accounting,
859,8887297169,F,Human Resources,Shoes,,,Electronics,Business Development,
860,5474725876,F,Engineering,Home,Marketing,Industrial,Grocery,Accounting,
861,1067158979,M,Marketing,Automotive,Sales,,Automotive,Human Resources,
862,8765511085,F,Legal,Home,Services,Electronics,Garden,Human Resources,Games
863,3985928975,M,Accounting,Toys,,Games,Movies,Accounting,Movies
864,1689967935,F,Business Development,Grocery,Accounting,Movies,,,
865,1706514867,F,Legal,Industrial,,,Music,Human Resources,
866,6714260806,F,Human Resources,Health,Services,,,,Books
867,9674318135,F,Services,,Legal,Games,Clothing,Business Development,Outdoors
868,5992249516,M,Services,Jewelery,,,,,
869,6723238486,M,Research and Development,Outdoors,,,,,
870,3205382331,M,Business Development,,Accounting,,,,
871,6992445200,M,Business Development,Tools,Business Development,Home,Baby,Marketing,Computers
872,6180050619,M,Engineering,Outdoors,Human Resources,,,,
873,4922833056,M,Product Management,Sports,Product Management,Beauty,Tools,Research and Development,Baby
874,2928618309,M,Engineering,Garden,Business Development,Shoes,Music,Business Development,Tools
875,1928962203,F,Services,Industrial,Services,,Beauty,Training,Health
876,0761147454,F,Product Management,Industrial,Support,Books,,,
877,5796328123,M,Training,Beauty,Services,Jewelery,Games,Services,
878,6393934336,F,Support,Baby,Training,,Tools,Sales,Books
879,2188447727,M,Human Resources,Books,Legal,,,,
880,2018951815,F,Support,Movies,Product Management,Toys,Jewelery,Accounting,Computers
881,4112724055,F,Sales,Home,,Outdoors,Home,Sales,Toys
882,3749687021,M,Engineering,Garden,Human Resources,Games,Tools,Product Management,Sports
883,1776795075,F,Training,Grocery,Marketing,,Sports,Legal,Electronics
884,9348176218,F,Product Management,Sports,Legal,Kids,Home,Support,
885,6325196864,M,Engineering,Computers,Sales,Music,Shoes,Product Management,
886,1354672011,M,Marketing,Clothing,Marketing,Electronics,Clothing,Human Resources,
887,3593504316,M,Accounting,,Training,Home,,,Jewelery
888,0653951132,M,Support,Clothing,Services,Grocery,Garden,Services,
889,4957755167,F,Accounting,Computers,Research and Development,Electronics,,,
890,1756848998,F,Product Management,,,Jewelery,,,
891,6213725520,M,Training,Books,Business Development,Home,,,
892,7037594644,M,Marketing,Movies,Training,,Garden,Services,Computers
893,1670614174,F,Research and Development,Electronics,Training,Sports,Health,Support,
894,6781093215,F,Marketing,Clothing,Human Resources,Automotive,Outdoors,Marketing,Tools
895,4147089437,M,Support,Music,Training,Clothing,Grocery,Legal,
896,9494487842,M,Business Development,Computers,Human Resources,,Books,Marketing,
897,5836202648,F,Research and Development,Games,,Shoes,Kids,Support,
898,2368787771,M,Legal,,Sales,,Toys,Marketing,Outdoors
899,5861697671,M,Human Resources,Beauty,Training,,,,Beauty
900,1100105093,M,Accounting,Music,Sales,Computers,Baby,Marketing,Health
901,3345465221,M,Marketing,Sports,,,Electronics,Support,Baby
902,7431548400,M,Services,Grocery,Services,Toys,Sports,Services,
903,6788913943,M,Human Resources,Garden,Legal,,Grocery,Marketing,
904,9136310859,M,Research and Development,Clothing,Product Management,Sports,,,Beauty
905,7279287239,F,Services,Kids,,Automotive,Health,Product Management,Grocery
906,3780183595,M,Business Development,Tools,Training,Toys,Automotive,Sales,Beauty
907,2656255376,M,Training,Tools,Sales,Music,,,Beauty
908,8705960118,M,Accounting,Books,Engineering,Books,Beauty,Business Development,
909,0973635045,F,Research and Development,Industrial,Product Management,Toys,Jewelery,Services,
910,7522243319,M,Business Development,Health,Research and Development,Movies,Grocery,Legal,
911,8524348127,M,Support,Garden,Accounting,Beauty,Kids,Product Management,
912,1336017961,F,Legal,Grocery,,,,,
913,2185432214,F,Engineering,Beauty,Marketing,Grocery,Games,Support,
914,8294126446,M,Sales,Grocery,Product Management,Kids,,,
915,1209358336,M,Engineering,,Human Resources,,,,
916,4506323343,M,Services,Beauty,Business Development,Books,Tools,Marketing,
917,2673761292,F,Accounting,Garden,,Beauty,Movies,Human Resources,
918,1764210689,M,Training,Music,Legal,,,,Toys
919,4525414219,F,Legal,Industrial,Human Resources,Health,Baby,Human Resources,Automotive
920,7026767143,F,Engineering,Automotive,Sales,,Home,Marketing,Outdoors
921,8044295666,M,Support,Jewelery,Sales,Clothing,,,Games
922,9939341474,M,Support,Baby,Business Development,,Industrial,Services,Sports
923,2845901313,M,Business Development,Garden,,Outdoors,Baby,Training,Music
924,9945834932,F,Sales,Books,,,Computers,Sales,Automotive
925,4778971736,M,Marketing,,Human Resources,Movies,,,Computers
926,8558914877,M,Marketing,Kids,Research and Development,,Computers,Engineering,Shoes
927,8165169947,F,Marketing,Music,Human Resources,Music,Books,Accounting,Health
928,2950488978,F,Legal,Jewelery,Services,Home,,,Music
929,7511208525,M,Sales,Shoes,Support,Shoes,Grocery,Support,
930,2840516802,M,Business Development,Music,Research and Development,,,,Shoes
931,7762511695,M,Legal,Automotive,Product Management,Games,Garden,Training,
932,5680012731,F,Business Development,Books,Support,Baby,Movies,Business Development,Automotive
933,9936043774,F,Engineering,Industrial,,Beauty,Grocery,Training,
934,8144421302,F,Training,Music,Human Resources,Shoes,Industrial,Legal,Computers
935,4217521383,F,Services,Books,Accounting,Electronics,,,
936,4701280755,M,Product Management,Garden,Research and Development,,Industrial,Training,Books
937,3491521297,F,Support,Outdoors,Business Development,Garden,,,
938,7645294833,M,Engineering,Shoes,Human Resources,Grocery,Home,Engineering,Industrial
939,9175205823,F,Legal,Sports,Marketing,,,,Clothing
940,2013634943,F,Marketing,Sports,Legal,Computers,Beauty,Training,
941,1127988549,M,Human Resources,,Services,Tools,Home,Accounting,Books
942,5529348831,F,Legal,Books,Training,,Industrial,Human Resources,Industrial
943,8698300790,M,Services,Health,Research and Development,Outdoors,Music,Human Resources,Books
944,7957385974,F,Business Development,Clothing,Business Development,Tools,Outdoors,Marketing,Electronics
945,5384532122,F,Support,Toys,,Books,,,Automotive
946,3169907662,F,Engineering,Health,Research and Development,Health,Grocery,Engineering,Outdoors
947,5910847236,F,Sales,Automotive,Accounting,,Games,Product Management,Games
948,0995805059,M,Training,Games,Services,Outdoors,,,
949,3954862808,F,Services,,Services,Kids,Computers,Product Management,
950,3186693780,F,Legal,Grocery,Business Development,Electronics,,,Outdoors
951,6212182833,F,Product Management,Movies,Training,,,,
952,9044108662,M,Human Resources,Baby,,Home,Books,Accounting,
953,9141869389,F,Support,Garden,Services,Jewelery,Outdoors,Accounting,
954,6079140985,M,Product Management,Movies,,,Movies,Business Development,Movies
955,5664123842,F,Services,Computers,,,,,Electronics
956,5130577736,M,Services,Automotive,Human Resources,Clothing,Outdoors,Support,
957,0449171302,F,Research and Development,Industrial,,Garden,,,Music
958,2685894152,F,Legal,Clothing,,Movies,Tools,Support,
959,2358312517,M,Legal,Outdoors,Business Development,Toys,,,Sports
960,3378290331,M,Human Resources,Books,Training,Sports,Music,Marketing,
961,3982389283,F,Product Management,Home,Accounting,Shoes,,,
962,8775826232,M,Research and Development,Toys,,Jewelery,Kids,Legal,
963,3988816043,F,Sales,Computers,Sales,,Games,Sales,Outdoors
964,8228818564,F,Accounting,Books,Human Resources,,,,Baby
965,1366694376,M,Engineering,Jewelery,Legal,Music,Grocery,Marketing,Electronics
966,3909923976,M,Product Management,Electronics,Research and Development,Shoes,,,
967,2759036170,F,Accounting,,,Computers,Music,Accounting,Clothing
968,8660104420,M,Human Resources,Electronics,Sales,Games,,,Garden
969,6814947587,F,Training,Automotive,,Home,,,Computers
970,5642480553,M,Engineering,Home,Engineering,,Shoes,Human Resources,Home
971,4526096725,F,Training,Automotive,Legal,Outdoors,,,Home
972,9474809666,F,Sales,Kids,Product Management,Toys,Garden,Support,
973,5372100303,M,Business Development,Sports,Legal,Baby,Electronics,Accounting,Beauty
974,5868857798,F,Business Development,,Support,Industrial,,,Sports
975,4134247071,M,Accounting,Games,Engineering,,Grocery,Services,Health
976,1170463932,F,Business Development,Automotive,,,Games,Training,Jewelery
977,4307561716,M,Human Resources,Grocery,Services,Toys,,,Automotive
978,4400504662,M,Services,Sports,,Movies,,,
979,9782945668,F,Support,Jewelery,Training,Movies,,,
980,0663778980,F,Engineering,Tools,Training,Music,Automotive,Legal,
981,8704252462,M,Accounting,,Engineering,Industrial,,,Grocery
982,6491915050,M,Engineering,Garden,Marketing,,Tools,Research and Development,
983,4102989773,M,Marketing,Baby,Business Development,Industrial,Health,Human Resources,Beauty
984,8453796319,F,Accounting,Automotive,Support,Shoes,Grocery,Accounting,
985,7411519235,F,Research and Development,Computers,Research and Development,,Shoes,Services,Clothing
986,5808596637,M,Legal,Tools,Support,Home,,,Home
987,4555380088,M,Legal,Garden,Engineering,Baby,,,
988,1725333074,M,Human Resources,Electronics,Services,,Garden,Research and Development,
989,4099101630,F,Marketing,Movies,Support,Toys,Movies,Services,Home
990,6656694500,F,Business Development,Garden,Business Development,Clothing,,,
991,6090432067,M,Research and Development,Home,Sales,Kids,Home,Support,Jewelery
992,8028929303,F,Business Development,Automotive,Support,Baby,Beauty,Engineering,
993,0655103139,F,Marketing,Electronics,Support,,,,
994,1361088982,M,Research and Development,Beauty,Business Development,Shoes,,,
995,6718136883,M,Marketing,Beauty,Training,Computers,,,
996,9049780075,M,Business Development,Movies,,Movies,Beauty,Accounting,Home
997,9461002904,F,Marketing,Books,Product Management,Shoes,Music,Sales,Jewelery
998,8654859946,F,Engineering,Computers,Sales,,,,
999,2251776117,M,Human Resources,Baby,,,,,Computers
1000,8702816946,M,Engineering,Kids,Services,Books,Jewelery,Sales,Clothing
